cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0374-00-1032547-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultoria Individual De Linea  En Comunicacion Y Periodismo,Contratado,,2020-03-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250FORM 250FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-07,La Paz,NB-SABS (D.S.0181)
20-0374-00-1032572-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea - Desarrollo De Sistemas 1,Contratado,,2020-03-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-10,La Paz,NB-SABS (D.S.0181)
20-0374-00-1032295-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultoria Individual De Linea - Apoyo En La Administracion Del Cpd,Contratado,,2020-03-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-04,La Paz,NB-SABS (D.S.0181)
20-0374-00-1039181-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Servicios Generales,CM,Impresion De Poleras Y Bolsitas De Yute,Contratado,,2020-04-28,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-03-11,La Paz,NB-SABS (D.S.0181)
20-0374-00-1039186-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Servicios Generales,CD,Transmision De Spot Televisivo Para La Presentacion Y Convocatoria A La Hack Haton Virtual Contra El Covid-19,Contratado,,2020-04-29,Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Res. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-03-27,La Paz,NB-SABS (D.S.0181)
20-0374-00-1042863-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Bienes,CM,Adquisicion De Herramientas Cnc Y Tarjetas De Desarrollo Para El Laboratorio De Innovacion E Investigacion Tecnologica,Contratado,,2020-06-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-03-06,La Paz,NB-SABS (D.S.0181)
20-0374-00-1044011-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea - Desarrollo De Sistemas 3,Contratado,,2020-06-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato Modificatorio/Orden de Cambio,FORM 400FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0374-00-1044012-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea Desarrollo De Sistemas 8,Contratado,,2020-06-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0374-00-1044010-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea - Desarrollo De Sistemas 2,Contratado,,2020-06-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0374-00-1044016-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea Desarrollo De Sistemas 5,Contratado,,2020-06-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0374-00-1044735-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultoria Individual De Linea - Tecnico En Procesos Y Procedimientos 6,Contratado,,2020-06-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047355-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea Desarrollo De Sistemas 6,Contratado,,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-05-06,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047363-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual Por Producto Para Relacionamiento Interinstitucional Con El Ministerio De Salud,Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-04-07,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047368-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Bienes,CM,Adquisicion De Insumos De Bioseguridad Por Emergencia Sanitaria Covid - 19,Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-05-29,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047330-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual Por Producto Para El Desarrollo De Herramientas De Tecnologia Durante La Emergencia Nacional Covid-19,Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-04-15,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047346-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea Desarrollo De Sistemas 7,Contratado,,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-03-11,La Paz,NB-SABS (D.S.0181)
20-0374-00-1047350-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea En Investigacion 7,Contratado,,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-05-06,La Paz,NB-SABS (D.S.0181)
20-0374-00-1048074-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea En Investigacion 3,Contratado,,2020-07-05,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-05-18,La Paz,NB-SABS (D.S.0181)
20-0374-00-1048072-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Consultoria,CM,Consultor Individual De Linea - Desarrollo De Sistemas 4,Contratado,,2020-07-05,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Pamela Gutierrez Loza (Telf: ), ,,   - , ,2020-03-06,La Paz,NB-SABS (D.S.0181)
