cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1907-00-1022994-1-2,Gobierno Autonomo Municipal De Filadelfia,Consultoria,OF,"Auditoria Externa Financiera A Los Estados Financieros 2019, Y Auditoria Operativa A Los Recursos Provenientes Del (I.D.H.) Gestión 2019",Suspendido,2020-03-20,2020-03-03,ConvocatoriaDocumento Base de ContratacionActa Reunion de AclaracionResolucion de aprobacion del DBCResolucion/Documento de Suspension,FORM 100FORM 120FORM 100-E,Ver Ficha,Edgar Inuma Rivero (Telf: 010-38423344), ,,   - ,10/03/2020 14:00,,Pando,Otra Normativa especifica
19-1907-00-1032747-0-E,Gobierno Autonomo Municipal De Filadelfia,Obras,CD,Construcción Sala De Computación Unidad Educativa Londres - Comunidad Londres,Contratado,,2020-03-04,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Edgar Inuma Rivero (Telf: 010-38423344), ,,   - , ,2019-05-28,Pando,D.S. 2511 Programa Bolivia Cambia
19-1907-00-1032802-0-E,Gobierno Autonomo Municipal De Filadelfia,Obras,CD,Construccion Sala De Computacion Unidad Educativa Puerto Sucre A - Comunidad Puerto Sucre,Contratado,,2020-03-04,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Edgar Inuma Rivero (Telf: 010-38423344), ,,   - , ,2019-05-28,Pando,D.S. 2511 Programa Bolivia Cambia
20-1907-00-1042665-0-E,Gobierno Autonomo Municipal De Filadelfia,Bienes,EM,Adquisicion De Viveres Para La Entrega De Los Mismos A Todas Las Comunidades Del Municipio En El Marco De La Emergencia Sanitaria Del Covid ? 19,Contratado,,2020-06-01,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Edgar Inuma Rivero (Telf: 010-38423344), ,,   - , ,2020-05-06,Pando,NB-SABS (D.S.0181)
