cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-2331-00-1048114-0-E,Entidad Descentralizada Municipal Terminal De Buses La Paz,Bienes,CM,"Adquisicion De Toners Para Impresoras, Fotocopiadoras Y Tinta Para La Terminal De Buses La Paz - Gestion 2020",Contratado,,2020-07-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Celia Zelada Perez (Telf: 2004806-2004807), ,,   - , ,2020-06-17,La Paz,NB-SABS (D.S.0181)
20-2331-00-1049235-0-E,Entidad Descentralizada Municipal Terminal De Buses La Paz,Consultoria,CM,Contratacion De Consultoria Por Producto Para El Estudio Tecnico De Requerimientos Para La Sistematizacion En La Terminal De Buses De La Paz - Gestion 2020,Contratado,,2020-07-22,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Celia Zelada Perez (Telf: 2004806-2004807), ,,   - , ,2020-06-16,La Paz,NB-SABS (D.S.0181)
20-2331-00-1050921-0-E,Entidad Descentralizada Municipal Terminal De Buses La Paz,Bienes,CM,Adquisicion De Material De Escritorio Para La Terminal De Buses La Paz- Gestion 2020,Contratado,,2020-07-28,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Celia Zelada Perez (Telf: 2004806-2004807), ,,   - , ,2020-07-03,La Paz,NB-SABS (D.S.0181)
