cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1321-00-1031416-1-1,Gobierno Autonomo Municipal De Anzaldo,Bienes,ANPP,Adquisicion  De Medicamentos E Insumos Para El Sistema Universal De Salud (Sus) Ley 1152,Anulado desde la convocatoria,2020-03-12,2020-03-02,ConvocatoriaEspecificaciones TecnicasDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Felix Guzman Sejas (Telf: 44136586), ,,   - , ,,Cochabamba,NB-SABS (D.S.0181)
20-1321-00-1031416-1-2,Gobierno Autonomo Municipal De Anzaldo,Bienes,ANPP,Adquisicion  De Medicamentos E Insumos Para El Sistema Universal De Salud (Sus) Ley 1152,No Informado,2020-03-18,2020-03-06,Especificaciones TecnicasDocumento Base de ContratacionConvocatoria,FORM 100,Ver Ficha,Felix Guzman Sejas (Telf: 44136586), ,,   - , ,,Cochabamba,NB-SABS (D.S.0181)
20-1321-00-1040836-1-1,Gobierno Autonomo Municipal De Anzaldo,Bienes,ANPE,"Servicios De Salud Universal Y Gratuita ? Sus
Adquisicion De Complemento Nutricional Carmelo",No Informado,2020-05-26,2020-05-19,Documento Base de ContratacionConvocatoriaEspecificaciones Tecnicas,FORM 100,Ver Ficha,Felix Guzman Sejas (Telf: 44136586), ,,   - , ,,Cochabamba,NB-SABS (D.S.0181)
