cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0660-10-1031736-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,CM,Compra De Lubricantes Aceites Y Deribados,Contratado,,2020-03-02,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-02-05,Potosi,NB-SABS (D.S.0181)
20-0660-10-1033355-1-1,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,ANPE,Adquisicion De Equipo De Oficina Y Muebles Para Salones De Honor De Diferentes Asientos Judiciales Del Organo Judicial Distrito - Potosi?,Desierto,2020-03-12,2020-03-05,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-03-18,Potosi,NB-SABS (D.S.0181)
20-0660-10-1035792-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Consultoria,CM,Consultor Individual De Linea Tecnico Auxiliar Iv De La Unidad De Habilitacion,Contratado,,2020-03-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-01-16,Potosi,NB-SABS (D.S.0181)
20-0660-10-1019905-2-3,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Servicios Generales,ANPE,"Contratacion De Servicio De Courrier Nacional E Interprovincial,Fletes Y Almacenamiento De Material A Ser Transportado Para El Organo Judicial  Departamental Potosi - Gestion 2020",Suspendido,2020-03-20,2020-03-16,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Suspension,FORM 100FORM 100-E,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
20-0660-10-1036450-1-1,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,ANPP,Adquisicion De Diferentes Toners Y Drun Para Diferentes Impresoras Para El Organo Judicial - Distrito Potosi,Anulado desde la convocatoria,2020-03-27,2020-03-17,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Anulacion,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
20-0660-10-1021410-2-2,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Servicios Generales,ANPE,Contratacion De Servicio De Fotocopias Para El Organo Judicial Departamento De Potosi Gestion 2020,Suspendido,2020-03-23,2020-03-17,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Suspension,FORM 100FORM 100-E,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
20-0660-10-1036831-1-1,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,ANPP,Adquisicion De Diferentes Utiles De Escritorio Para El Organo Judicial ? Distrito De Potosi,Suspendido,2020-03-31,2020-03-19,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Suspension,FORM 100FORM 100-E,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
20-0660-10-1047146-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,CM,Compra De Material De Limpieza,Contratado,,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-02-20,Potosi,NB-SABS (D.S.0181)
20-0660-10-1049274-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Obras,CM,Reordenamiento De Salas De Audiencia Con Melamina Con Estructura De Aluminio Del Edificio De Av. Sevilla Esq. Villazon,Contratado,,2020-07-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-03-09,Potosi,NB-SABS (D.S.0181)
20-0660-10-1049280-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,CM,Compra De Material De Hojas De Papel Bond,Contratado,,2020-07-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-06-10,Potosi,NB-SABS (D.S.0181)
20-0660-10-1036450-1-2,Direccion Administrativa Y Financiera - Organo Judicial - Potosi,Bienes,ANPP,Adquisicion De Diferentes Toners Y Drun Para Diferentes Impresoras Para El Organo Judicial - Distrito Potosi,Adjudicado,2020-07-30,2020-07-20,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 170,Ver Ficha,Ximena Alvarez Mamani (Telf: 6226409), ,,   - , ,2020-08-05,Potosi,NB-SABS (D.S.0181)
