cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
19-0906-24-1035090-0-E,Sub Gobernacion Padcaya ,Bienes,CM,"Adquisicion De Productos Quimicos Para El Desarrollo De La Campaña Fitosanitaria De La Mosca De La Fruta Del Proyecto ""Mej. Y Apoyo Al Desarrollo De La Prod. Fruticola 1ra. Seccion  Prov. Arce""",Contratado,,2020-03-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Monica Liliana Martinez Chambi (Telf: 6545018), ,,   - , ,2019-11-05,Tarija,NB-SABS (D.S.0181)
19-0906-24-1035820-0-E,Sub Gobernacion Padcaya ,Bienes,CM,Adquisicion De Repuestos Para Excavadora Hidraulica Exc-001 Pad Del Proy. Mejo. Mant. De La Red Vial Dptal. Prov. Arce,Contratado,,2020-03-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Monica Liliana Martinez Chambi (Telf: 6545018), ,,   - , ,2019-11-13,Tarija,NB-SABS (D.S.0181)
20-0906-24-1038526-1-1,Sub Gobernacion Padcaya ,Servicios Generales,LP,Contratacion De Seguros Para El Parque Automotor Y Equipo Pesado De La Subgobernacion De Padcaya,Contratado,2020-05-22,2020-04-20,ConvocatoriaEspecificaciones TecnicasDocumento Base de ContratacionFormularios de presentacionAprobación de la entidad para elaboración del DBC (no existe modelo del Organo Rector)EnmiendasResolucion de aprobacion del DBCInforme de la Comision/Responsable de EvaluacionVer mas...,FORM 100FORM 120FORM 170FORM 200,Ver Ficha,Monica Liliana Martinez Chambi (Telf: 6545018), ,,   - ,04/05/2020 10:00,2020-06-08,Tarija,NB-SABS (D.S.0181)
19-0906-24-1043250-0-E,Sub Gobernacion Padcaya ,Bienes,CM,"Adquisicion De Herramientas Menores Para El Proy.""Mejoramiento Y Apoyo Al Desarrollo De La Produccion Fructicola Primera Seccion Arce""",Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Monica Liliana Martinez Chambi (Telf: 6545018), ,,   - , ,2019-12-17,Tarija,NB-SABS (D.S.0181)
19-0906-24-1043496-0-E,Sub Gobernacion Padcaya ,Bienes,CM,Adquisicion De Cera Estampada Para Abejas Para El Proyecto Implementacion Sistema De Produccion Y Comercializacion De Productos Agropecuarios Artesanales 1ra Seccion Provincia Arce,Contratado,,2020-06-06,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Monica Liliana Martinez Chambi (Telf: 6545018), ,,   - , ,2019-12-06,Tarija,NB-SABS (D.S.0181)
