cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1219-00-1032089-1-1,Gobierno Autonomo Municipal De Quime,Bienes,ANPP,Provision De Servicio De Alimentacion Complementaria Escolar(Desayuno Escolar),Anulado desde la convocatoria,2020-03-12,2020-03-02,ConvocatoriaDocumento Base de ContratacionEspecificaciones TecnicasResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-1219-00-1032134-1-1,Gobierno Autonomo Municipal De Quime,Bienes,ANPP,Provision De Servicio De Alimentacion Complementaria Escolar(Desayuno Escolar),Desierto,2020-03-12,2020-03-02,Especificaciones TecnicasDocumento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,2020-03-13,La Paz,NB-SABS (D.S.0181)
20-1219-00-1030527-2-1,Gobierno Autonomo Municipal De Quime,Obras,ANPE,Const. Vivienda Para Maestro U.E. Simon Bolivar,No Informado,2020-03-12,2020-03-06,Documento Base de ContratacionConvocatoriaPlanosEspecificaciones Tecnicas,FORM 100,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
19-1219-00-1035415-0-E,Gobierno Autonomo Municipal De Quime,Obras,EX,Const. Sistema Alcantarillado Zona La Piedad,Contratado,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInformeContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,2019-12-11,La Paz,NB-SABS (D.S.0181)
19-1219-00-1035350-0-E,Gobierno Autonomo Municipal De Quime,Obras,CM,"Const. Sistema De Alcantarillado Calle Maria Barzola ,  Juan Carlos Crespo, Y Teodomiro Urquiola",Contratado,,2020-03-12,InformeContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,2019-10-30,La Paz,NB-SABS (D.S.0181)
19-1219-00-1035729-0-E,Gobierno Autonomo Municipal De Quime,Obras,EX,Construccion Viviendas Para Maestro U.E. Simon Bolivar Mina Argentina,Contratado,,2020-03-13,Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioInformeInformeRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,2019-10-03,La Paz,NB-SABS (D.S.0181)
20-1219-00-1032134-2-1,Gobierno Autonomo Municipal De Quime,Bienes,ANPP,Provision De Servicio De Alimentacion Complementaria Escolar(Desayuno Escolar),No Informado,2020-03-25,2020-03-13,ConvocatoriaDocumento Base de ContratacionEspecificaciones Tecnicas,FORM 100,Ver Ficha,Hugo Dorian Michael Alvares Osco (Telf: 22136645), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
