cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0418-03-1033699-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPE,Adquisicion Viveres Secos Y Abarrotes,Contratado,2020-03-16,2020-03-09,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Resolucion/Documento de SuspensionResolucion/Documento de ReanudacionContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioVer mas...,FORM 100FORM 170FORM 100-EFORM RPSFORM 200,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-03-25,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1034905-1-1,Caja Petrolera De Salud Departamental Cochabamba,Servicios Generales,ANPE,Servicio Mantenimiento Galpon De Farmacia,Contratado,2020-03-18,2020-03-11,ConvocatoriaEspecificaciones TecnicasDocumento Base de ContratacionEspecificaciones TecnicasEspecificaciones TecnicasRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolucion/Documento de SuspensionVer mas...,FORM 100FORM 170FORM 100-EFORM RPSFORM 100-EFORM RPSFORM 200,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-03-24,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1034750-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPP,Adquisicion Lavacentrifuga,Contratado,2020-03-24,2020-03-11,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 100-EFORM RPSFORM 200FORM 500,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-03-30,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1035279-1-1,Caja Petrolera De Salud Departamental Cochabamba,Servicios Generales,ANPE,Servicio Mantenimiento Preventivo Y Correctivo Equipos Medicos,Contratado,2020-03-23,2020-03-16,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-03-30,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1036517-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPP,Adquisicion Material Y Suministros Para Hemodialisis,Contratado,2020-04-01,2020-03-18,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-13,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1034836-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPP,Adquisicion Ventilador Mecanico,Desierto,2020-03-31,2020-03-18,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-08,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1036996-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPP,Adquisicion Ecografo,Contratado,2020-04-02,2020-03-20,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-13,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1037243-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPE,Adquisicion Material Y Equipamiento Medico Enfermeria Policonsultorio Norte,Desierto,2020-03-27,2020-03-20,Documento Base de ContratacionConvocatoriaRes. de Desierta (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-01,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1037394-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPE,Adquisicion Medicamentos Declarados Desiertos (Licitacion Recurrente),Contratado,2020-03-31,2020-03-24,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-08,Cochabamba,NB-SABS (D.S.0181)
20-0418-03-1037480-1-1,Caja Petrolera De Salud Departamental Cochabamba,Bienes,ANPP,Adquisicion Termodesinfectadora,Contratado,2020-04-13,2020-03-26,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Sandra Cecilia Siles Soruco (Telf: 44228260), ,,   - , ,2020-04-20,Cochabamba,NB-SABS (D.S.0181)
