cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0223-00-1040718-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Profesional Ii Auditor Senior,Contratado,,2020-05-18,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Otros documentos de respaldoOtros documentos de respaldo,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-04-20,La Paz,NB-SABS (D.S.0181)
20-0223-00-1049703-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Profesional Ii Auditor Senior Supervisor,Contratado,,2020-07-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-05-15,La Paz,NB-SABS (D.S.0181)
20-0223-00-1049600-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Consultor Individual De Linea Asistente Administrativo Caf,Contratado,,2020-07-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-07-02,La Paz,NB-SABS (D.S.0181)
20-0223-00-1049588-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Asistente Tecnico Para Cpyep,Contratado,,2020-07-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-06-15,La Paz,NB-SABS (D.S.0181)
20-0223-00-1049663-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Asistente Administrativo Transparencia,Contratado,,2020-07-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-07-01,La Paz,NB-SABS (D.S.0181)
20-0223-00-1049641-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,"Profesional Ii Financiero De Seguimiento, Monitoreo Y Cierre De Programas Y Proyectos",Contratado,,2020-07-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-05-07,La Paz,NB-SABS (D.S.0181)
20-0223-00-1050347-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Profesional Ii Financiero De Planificacion Y Evaluacion De Proyectos,Contratado,,2020-07-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-05-28,La Paz,NB-SABS (D.S.0181)
20-0223-00-1050359-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Profesional Ii Analista Legal Ii,Contratado,,2020-07-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-06-12,La Paz,NB-SABS (D.S.0181)
20-0223-00-1050333-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Profesional Ii Presupuestos Y Tesoreria,Contratado,,2020-07-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-06-10,La Paz,NB-SABS (D.S.0181)
20-0223-00-1050278-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Tecnico I En Comunicacion,Contratado,,2020-07-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-07-01,La Paz,NB-SABS (D.S.0181)
20-0223-00-1052601-0-E,Fondo Nacional De Desarrollo Forestal,Consultoria,CM,Consultoria Individual De Linea Asistente Administrativo Gido,Contratado,,2020-07-31,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Guadalupe El Carmen Velasquez Merida (Telf: 2004004 - 2129838 - 2128772), ,,   - , ,2020-07-24,La Paz,NB-SABS (D.S.0181)
