cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0287-09-1033614-1-1,Fondo Nacional De Inversion Productiva Y Social  -  Tarija,Consultoria,CD,Supervision Tecnica Const. Sist. Agua Potable Com. Ibibobo (Villa Montes),Vigente,2020-09-07,2020-03-06,Terminos de ReferenciaDocumento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de Reanudacion,FORM 100FORM 100-EFORM RPS,Ver Ficha,Silbana Ruiz Flores (Telf: 6648636), ,,   - , ,,Tarija,Otra Normativa especifica
20-0287-09-1033632-1-1,Fondo Nacional De Inversion Productiva Y Social  -  Tarija,Consultoria,CD,Descom-Fi: Const. Sist. Agua Potable Com. Ibibobo (Villa Montes),Vigente,2020-09-07,2020-03-06,ConvocatoriaTerminos de ReferenciaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de Reanudacion,FORM 100FORM 100-EFORM RPS,Ver Ficha,Silbana Ruiz Flores (Telf: 6648636), ,,   - , ,,Tarija,Otra Normativa especifica
20-0287-09-1034240-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Tarija,Servicios Generales,CM,Servicio De Limpieza Oficinas Fps Departamental Tarija  - Gestion 2020,Contratado,,2020-03-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silbana Ruiz Flores (Telf: 6648636), ,,   - , ,2020-01-17,Tarija,NB-SABS (D.S.0181)
20-0287-09-1045857-1-1,Fondo Nacional De Inversion Productiva Y Social  -  Tarija,Obras,OF,Contratacion De Servicios De Mano De Obra Para El Colocado Y Sellado De Juntas Losetas Hexagonales  (M2) (Tar-Ycb),Anulado desde la convocatoria,2020-07-09,2020-06-19,Especificaciones TecnicasDocumento Base de ContratacionPlanosEspecificaciones TecnicasFormularios de presentacionConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Silbana Ruiz Flores (Telf: 6648636), ,,   - , ,2020-07-10,Tarija,Otra Normativa especifica
20-0287-09-1045857-1-2,Fondo Nacional De Inversion Productiva Y Social  -  Tarija,Obras,OF,Contratacion De Servicios De Mano De Obra Para El Colocado Y Sellado De Juntas Losetas Hexagonales  (M2) (Tar-Ycb),En curso,2020-07-29,2020-07-13,Documento Base de ContratacionEspecificaciones TecnicasConvocatoriaPlanosEspecificaciones TecnicasFormularios de presentacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionVer mas...,FORM 100FORM 170FORM 180,Ver Ficha,Silbana Ruiz Flores (Telf: 6648636), ,,   - , ,2020-08-10,Tarija,Otra Normativa especifica
