cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0169-00-1035327-1-1,Autoridad De Impugnacion Tributaria,Bienes,ANPE,Adquisicion De Escaners Para La Ait,Cancelado,2020-03-18,2020-03-12,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Cancelacion,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Enrique Marvin Rubin De Celis Arispe (Telf: 2-2412048), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0169-00-1035388-1-1,Autoridad De Impugnacion Tributaria,Bienes,ANPE,Adquisicion De Papel Membretado Para La Ait (1° Semestre),Contratado,2020-07-06,2020-03-12,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 100-EFORM RPSFORM 170FORM 200,Ver Ficha,Enrique Marvin Rubin De Celis Arispe (Telf: 2-2412048), ,,   - , ,2020-07-08,La Paz,NB-SABS (D.S.0181)
20-0169-00-1035751-1-1,Autoridad De Impugnacion Tributaria,Bienes,ANPE,Adquisicion De Toners Y Cartuchos Para La Ait (1° Semestre),Cancelado,2020-03-20,2020-03-13,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Cancelacion,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Enrique Marvin Rubin De Celis Arispe (Telf: 2-2412048), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0169-00-1036106-1-1,Autoridad De Impugnacion Tributaria,Bienes,ANPE,Adquisicion De Kits De Mantenimiento Para La Ait (1° Semestre),Anulado desde la convocatoria,2020-07-06,2020-03-16,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Resolucion/Documento de Anulacion,FORM 100FORM 100-EFORM RPSFORM 170FORM 100-E,Ver Ficha,Enrique Marvin Rubin De Celis Arispe (Telf: 2-2412048), ,,   - , ,2020-07-08,La Paz,NB-SABS (D.S.0181)
20-0169-00-1043748-0-E,Autoridad De Impugnacion Tributaria,Bienes,CM,Adquisicion De 174 Overoles De Bioseguridad Para El Personal De La Ait,Contratado,,2020-06-08,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Enrique Marvin Rubin De Celis Arispe (Telf: 2-2412048), ,,   - , ,2020-06-03,La Paz,NB-SABS (D.S.0181)
