cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1725-00-1044205-1-1,Gobierno Autonomo Municipal De Vallegrande,Consultoria,ANPE,"Contratacion De Consultores De Linea, Auxiliares O Licenciadas (Os)  En Enfermeria Para El Programa Mi Salud Del Hospital Municipal Señor De Malta De Vallegrande",En curso,2020-06-17,2020-06-10,ConvocatoriaDocumento Base de Contratacion,FORM 100,Ver Ficha,Javier Quintana Barrancos (Telf: 9422149), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
20-1725-00-1044210-1-1,Gobierno Autonomo Municipal De Vallegrande,Consultoria,ANPP,"Contratacion De Consultores De Linea, Auxiliares Y Licenciadas (Os)  En Enfermeria Para Hospital Municipal Señor De Malta De Vallegrande",En curso,2020-06-24,2020-06-10,Documento Base de ContratacionConvocatoria,FORM 100,Ver Ficha,Javier Quintana Barrancos (Telf: 9422149), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
20-1725-00-1047524-1-1,Gobierno Autonomo Municipal De Vallegrande,Bienes,ANPP,Segunda Adquisicion De Medicamentos E Insumos Medicos Para El Hospital Municipal Señor De Malta,En curso,2020-07-14,2020-07-02,ConvocatoriaDocumento Base de Contratacion,FORM 100,Ver Ficha,Javier Quintana Barrancos (Telf: 9422149), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
