cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1274-00-1026173-3-1,Gobierno Autonomo Municipal De Santiago De Machaca,Consultoria,OF,Auditoria Externa Financiera Y Auditoria Operativa Idh Gestion 2019,Contratado,2020-06-15,2020-03-19,Documento Base de ContratacionTerminos de ReferenciaConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion de aprobacion del DBCRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionVer mas...,FORM 100FORM 100-EFORM RPSFORM 120FORM 170FORM 100-EFORM 200,Ver Ficha,Franz William Machicado Quispe (Telf: 71550643), ,,   - ,23/03/2020 12:20,2020-06-17,La Paz,Otra Normativa especifica
20-1274-00-1037219-0-E,Gobierno Autonomo Municipal De Santiago De Machaca,Bienes,CM,Aquisicion E Alimento Complementario Carmelo Para Censtro De Salud Integral Santiago De Machaca Y Centro E Salud Huaripujo,Contratado,,2020-03-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Informe,FORM 400,Ver Ficha,Franz William Machicado Quispe (Telf: 71550643), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-1274-00-1043402-0-E,Gobierno Autonomo Municipal De Santiago De Machaca,Bienes,CM,Se Adquirieron 600 Bolsas De Alimento Complmentario Carmelo,Contratado,,2020-06-05,InformeContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Franz William Machicado Quispe (Telf: 71550643), ,,   - , ,2020-05-05,La Paz,NB-SABS (D.S.0181)
20-1274-00-1045128-0-E,Gobierno Autonomo Municipal De Santiago De Machaca,Bienes,CM,Equipamiento De La Sala De Aislamiento Covid-19 Y Ambulancia Del Centro De Salud Santiago De Machaca,Contratado,,2020-06-17,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Franz William Machicado Quispe (Telf: 71550643), ,,   - , ,2020-05-04,La Paz,NB-SABS (D.S.0181)
