cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
19-1327-00-1034304-0-E,Gobierno Autonomo Municipal De Capinota,Bienes,CM,Adquisicion De Fotocopiadora Para El Concejo Municipal,Contratado,,2020-03-10,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2019-12-05,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1035227-1-1,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De (Oxido De Etileno De Ciclos Automatizados) Para Hospital Jose De La Reza,Anulado desde la convocatoria,2020-03-25,2020-03-12,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,19/03/2020 17:00,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1035650-1-1,Gobierno Autonomo Municipal De Capinota,Bienes,ANPE,Compra De Mobiliario Para Unidades Educativas Del Municipio De Capinota,Anulado desde la convocatoria,2020-03-19,2020-03-13,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,17/03/2020 17:00,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1036386-1-1,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De Contenedores  Con  Instrumental Medico Quirurgico Y Otros Materiales,Anulado desde la convocatoria,2020-03-30,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,23/03/2020 11:30,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1039056-0-E,Gobierno Autonomo Municipal De Capinota,Bienes,CM,Compra De Material De Limpieza Para Funcionanmiento De Unidades Educativas,Contratado,,2020-04-27,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2020-01-17,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1038249-0-E,Gobierno Autonomo Municipal De Capinota,Bienes,CM,Compra De Material De Limpieza Para Hospital Y Centros De Salud,Contratado,,2020-04-27,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2020-02-07,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1039382-0-E,Gobierno Autonomo Municipal De Capinota,Bienes,CM,Compra De Desinfectante Y Equipo De Bioseguridad,Contratado,,2020-04-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2020-03-26,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1040853-1-1,Gobierno Autonomo Municipal De Capinota,Servicios Generales,LP,Seguro Para El Parque Automotor Y Equipo Pesado Del Gobierno Autonomo Municipal De Capinota Gestion 2021-2020,Anulado desde la convocatoria,2020-06-09,2020-05-19,ConvocatoriaDocumento Base de ContratacionActa Reunion de AclaracionResolucion de aprobacion del DBCActa Reunion de AclaracionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,28/05/2020 11:00,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1036386-1-2,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De Contenedores  Con  Instrumental Medico Quirurgico Y Otros Materiales,En curso,2020-06-01,2020-05-20,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota),FORM 100,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,26/05/2020 15:00,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1035227-1-2,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De (Oxido De Etileno De Ciclos Automatizados) Para Hospital Jose De La Reza,Desierto,2020-06-02,2020-05-21,Documento Base de ContratacionConvocatoriaRes. de Desierta (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,27/05/2020 14:30,2020-06-09,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1041941-0-E,Gobierno Autonomo Municipal De Capinota,Consultoria,CM,Responsable De Slim,Contratado,,2020-05-28,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Doc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2020-01-07,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1041913-0-E,Gobierno Autonomo Municipal De Capinota,Consultoria,CM,Asesor Coactivo Del Ejecutivo,Contratado,,2020-05-28,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - , ,2020-01-09,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1035227-2-2,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De (Oxido De Etileno De Ciclos Automatizados) Para Hospital Jose De La Reza,Anulado desde la convocatoria,2020-06-25,2020-06-12,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,18/06/2020 14:30,,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1044448-1-1,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De Equipo Medico  (Autoclave) ? Para El Hospital De 2do. Nivel Jose De La Reza,Desierto,2020-06-25,2020-06-12,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,18/06/2020 15:00,2020-07-03,Cochabamba,NB-SABS (D.S.0181)
20-1327-00-1035227-2-3,Gobierno Autonomo Municipal De Capinota,Bienes,ANPP,Compra De (Oxido De Etileno De Ciclos Automatizados) Para Hospital Jose De La Reza,Desierto,2020-06-25,2020-06-15,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Heraclio Colque  Sanca  (Telf: 4389007-14), ,,   - ,18/06/2020 14:30,2020-07-02,Cochabamba,NB-SABS (D.S.0181)
