cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0283-15-1026516-2-1,Aduana Nacional Regional Tarija,Servicios Generales,ANPE,"Contratacion Del Servicio De Enlace De Datos Entre La Gerencia Regional Tarija, Administracion Bermejo (Chalanas), Puntos De Inspeccion Aduanero En La Mamora Y Villamontes",Contratado,2020-03-10,2020-03-04,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-03-12,Tarija,NB-SABS (D.S.0181)
20-0283-15-1035002-1-1,Aduana Nacional Regional Tarija,Servicios Generales,ANPE,Servicio De Mantenimiento Preventivo De Equipos De Computacion  De La Gerencia Regional Tarija Y Sus Dependencias,No Informado,2020-03-19,2020-03-13,Documento Base de ContratacionConvocatoria,FORM 100,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,,Tarija,NB-SABS (D.S.0181)
20-0283-15-1041293-0-E,Aduana Nacional Regional Tarija,Bienes,OF,Adquisicion De Cabinas De Desinfeccion De Policarbonato Para La Gerencia Regional Tarija Y Sus Administraciones Dependientes,Contratado,,2020-05-22,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-05-11,Tarija,Otra Normativa especifica
20-0283-15-1043099-0-E,Aduana Nacional Regional Tarija,Servicios Generales,CD,Contrataciã??????N Del Servicio De Alquiler Para Las Oficinas De La Administraciã??????N Aduana Frontera Bermejo Gestiã??????N 2020,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-05-15,Tarija,NB-SABS (D.S.0181)
20-0283-15-1043368-0-E,Aduana Nacional Regional Tarija,Bienes,OF,"Adquisicion De Lavandina, Alcohol En Gel Y En Spray Desinfectante Para La Gerencia Regional Tarija  Y Sus Dependencias",Contratado,,2020-06-10,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-05-22,Tarija,Otra Normativa especifica
20-0283-15-1043116-0-E,Aduana Nacional Regional Tarija,Bienes,OF,Adquisicion De Overoles De Bioseguridad Para La Gerencia Regional Tarija,Contratado,,2020-06-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-05-21,Tarija,Otra Normativa especifica
20-0283-15-1050178-0-E,Aduana Nacional Regional Tarija,Bienes,OF,Adquisicion De Barbijos Para La Gerencia Regional Tarija,Contratado,,2020-07-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olga Farfan Caro (Telf: 6648600  ), ,,   - , ,2020-06-30,Tarija,Otra Normativa especifica
