cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1705-00-1031236-1-2,Gobierno Autonomo Municipal De El Torno,Bienes,ANPE,Adquisicion De Maquina Termo Nebulizadora Vehicular Mas Control Remoto Para El Hospital Municipal De El Torno,Anulado desde la convocatoria,2020-03-06,2020-03-02,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolucion/Documento de Anulacion,FORM 100FORM 170FORM 100-E,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,2020-03-11,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1032415-1-1,Gobierno Autonomo Municipal De El Torno,Obras,ANPE,Construccion Centro De Salud Distrito 1,No Informado,2020-03-09,2020-03-03,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 170,Ver Ficha,Leydy Molina Moron (Telf: 3822164), ,,   - , ,2020-03-12,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1034828-0-E,Gobierno Autonomo Municipal De El Torno,Bienes,CM,Adquisicion De Material Informativo (Memoria Anual Gestion 2019) Para El Concejo Autonomo Municipal De El Torno,Contratado,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,2020-03-06,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1044745-0-E,Gobierno Autonomo Municipal De El Torno,Obras,CM,Refaccion Laboratorio Fisica Y Quimica Unidad Educativa Bicentenario Distrito 1,Contratado,,2020-06-16,Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leydy Molina Moron (Telf: 3822164), ,,   - , ,2020-03-03,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1044795-0-E,Gobierno Autonomo Municipal De El Torno,Bienes,CM,Adquisicion De Equipamiento Para El Laboratorio Del Hospital Municipal De El Torno,Contratado,,2020-06-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Leydy Molina Moron (Telf: 3822164), ,,   - , ,2020-03-04,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1046925-0-E,Gobierno Autonomo Municipal De El Torno,Bienes,CM,Adquisicion De 10 Equipos De Computacion Completos Para La Unidad Educativa Nacional El Torno Turno Tarde Distrito 1 Municipio El Torno,Contratado,,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,2020-02-26,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1046977-0-E,Gobierno Autonomo Municipal De El Torno,Servicios Generales,CM,Servicio De Fumigacion Por Epidemia De Dengue Distrito 9 Municipio El Torno,Contratado,,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,2020-04-22,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1046943-0-E,Gobierno Autonomo Municipal De El Torno,Consultoria,CM,Consultoria Para Asesoramiento Y Patrocinio Proceso Laboral - Ordinario Civil Del Gobierno Autonomo Municipal El Torno,Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,2020-02-10,Santa Cruz,NB-SABS (D.S.0181)
20-1705-00-1050066-1-1,Gobierno Autonomo Municipal De El Torno,Bienes,ANPP,Adquicision De Medicamentos Para La Farmacia Institucional Municipal De Referencia (Centros De Salud Y Hospital) De El Torno (Consalud),Anulado desde la convocatoria,2020-07-29,2020-07-17,Especificaciones TecnicasConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Leydy Magdony Molina Moron (Telf: 3822164), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
