cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0418-40-1033204-0-E,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,CM,Adquisicion De Material De Limpieza Para Stock De Almacen Gestion 2020,Contratado,,2020-03-05,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-02-07,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1036080-0-E,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,CM,Compra De Fotocopiadora Para El Ion-Cps,Contratado,,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Otros Documentos/ResolucionesDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/ServicioOtros Documentos/Resoluciones,FORM 400FORM 600,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-03-03,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1036780-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,ANPP,Adquisicion De Medicamentos 1er Semestre Para Farmacia Del Ion-Cps,Contratado,2020-04-02,2020-03-20,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-04-13,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1037554-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,ANPP,Adquisicion De Materiales 1er Semestre Para Farmacia Del Ion-Cps,Contratado,2020-04-13,2020-03-30,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-04-22,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1042825-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,ANPE,Adquisicion De Equipos De Proteccion Personal (Epp) E Insumos Ante Contingencias Covid 19 Para El Ion-Cps Gestion 2020,Contratado,2020-06-12,2020-06-04,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-06-18,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1048053-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Servicios Generales,ANPE,Instalacion Central De Oxigeno - Dimensionamiento De Tuberias Para Red De Oxigeno Para Ion-Cps,Contratado,2020-07-16,2020-07-09,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-07-24,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1048060-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Servicios Generales,ANPP,Compra De Servicios De Mantenimiento Preventivo Para Equipos Medicos Del Ion-Cps Gestion 2020,Adjudicado,2020-07-22,2020-07-09,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-07-28,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1049873-0-E,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,CM,Ropa De Trabajo Para El Personal Del Ion-Cps Gestion 2020,Contratado,,2020-07-20,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-07-03,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1051601-1-1,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,ANPE,Adquisicion De Materiales Desiertos Y Adicionales Para Ion-Cps,Adjudicado,2020-08-05,2020-07-29,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-08-13,Cochabamba,NB-SABS (D.S.0181)
20-0418-40-1052400-0-E,Caja Petrolera De Salud-Instituto Oncologico Nacional,Bienes,CM,Compra De Repuesto Para El Acelerador Lineal Varian Clinac 2100c Del Ion-Cps,Contratado,,2020-07-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Claudia Isabel Muriel Rojas (Telf: 4288039), ,,   - , ,2020-07-20,Cochabamba,NB-SABS (D.S.0181)
