cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0660-03-1032016-1-1,Direccion Administrativa Y Financiera - Organo Judicial - Tribunal Supremo De Justicia,Bienes,ANPE,Primera Compra De Toner Para Impresoras Y Fotocopiadoras Para El Tribunal Supremo De Justicia,Contratado,2020-03-06,2020-03-02,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Maria Rosario Quinteros Diaz (Telf: 6422250), ,,   - , ,2020-03-10,Chuquisaca,NB-SABS (D.S.0181)
20-0660-03-1038566-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Tribunal Supremo De Justicia,Bienes,CM,Primera Compra De Papel De Escritorio Para El Tribunal Supremo De Justicia,Contratado,,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Maria Rosario Quinteros Diaz (Telf: 6422250), ,,   - , ,2020-03-05,Chuquisaca,NB-SABS (D.S.0181)
20-0660-03-1040912-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Tribunal Supremo De Justicia,Servicios Generales,CM,Mantenimiento De Areas Comunes Edificio Del Tribunal Supremo De Justicia,Contratado,,2020-06-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Maria Rosario Quinteros Diaz (Telf: 6422250), ,,   - , ,2020-03-06,Chuquisaca,NB-SABS (D.S.0181)
