cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0418-00-1040299-0-E,Caja Petrolera De Salud,Servicios Generales,CM,Contratacion Del Servicio De Courier Para Oficina Nacional,Contratado,,2020-05-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Rene Pinto Valda (Telf: 2372160), ,,   - , ,2020-03-05,La Paz,NB-SABS (D.S.0181)
20-0418-00-1043902-1-1,Caja Petrolera De Salud,Servicios Generales,ANPP,"Servicio De Pasajes Aereos Para Oficina Nacional
Gestion 2020",Contratado,2020-06-23,2020-06-09,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Hector Alvarez Laura (Telf: 2372160), ,,   - , ,2020-06-30,La Paz,NB-SABS (D.S.0181)
20-0418-00-1044863-1-1,Caja Petrolera De Salud,Servicios Generales,ANPE,Servicio De Empastado De Documjentos Oficina Nacional - Gestion 2020,Contratado,2020-06-23,2020-06-16,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Gerardo Rodrigo Morales Justiniano (Telf: 2372160), ,,   - , ,2020-06-26,La Paz,NB-SABS (D.S.0181)
20-0418-00-1048742-1-1,Caja Petrolera De Salud,Bienes,ANPE,Adquisicion De Material De Computacion Toner Para Stock De Almacen Oficina Nacional - Cps,Anulado desde la convocatoria,2020-07-15,2020-07-09,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Gerardo Rodrigo Morales Justiniano (Telf: 2372160), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0418-00-1048742-1-2,Caja Petrolera De Salud,Bienes,ANPE,Adquisicion De Material De Computacion Toner Para Stock De Almacen Oficina Nacional - Cps,Contratado,2020-07-28,2020-07-22,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Gerardo Rodrigo Morales Justiniano (Telf: 2372160), ,,   - , ,2020-07-31,La Paz,NB-SABS (D.S.0181)
