cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0312-00-1040998-1-1,Autoridad De Fiscalización Y Control Social De Bosques Y Tierra ,Bienes,ANPP,"Compra De:
Item I: Servidor Tipo Nas	
Item Ii: Switch",Desierto,2020-06-01,2020-05-20,ConvocatoriaDocumento Base de ContratacionRes. de Desierta (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Jhovana Barriga Vasquez (Telf: 3488331), ,,   - , ,2020-06-04,Santa Cruz,NB-SABS (D.S.0181)
20-0312-00-1040998-2-1,Autoridad De Fiscalización Y Control Social De Bosques Y Tierra ,Bienes,ANPP,"Compra De:
Item I: Servidor Tipo Nas	
Item Ii: Switch",Adjudicado,2020-06-24,2020-06-12,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Resolución/Nota/Documento que autorice la Ampliacion,FORM 100FORM 170FORM 100-E,Ver Ficha,Jhovana Barriga Vasquez (Telf: 3488331), ,,   - , ,2020-06-29,Santa Cruz,NB-SABS (D.S.0181)
