cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1818-00-1031947-1-1,Gobierno Autonomo Municipal De Baures,Bienes,ANPE,Adquisicion De 2049 Bolsas De Complemento Nutricional (Nutribebe) Y Micronutrientes (Chispitas Nutricionales) Para Los Centros De Salud Del Municipio,Cancelado,2020-03-06,2020-03-02,Documento Base de ContratacionConvocatoriaResolucion/Documento de Cancelacion,FORM 100FORM 100-E,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,,Beni,NB-SABS (D.S.0181)
20-1818-00-1034091-1-1,Gobierno Autonomo Municipal De Baures,Bienes,ANPE,Adquisicion De 2049 Bolsas De Complemento Nutricional (Nutribebe) Y Micronutrientes (Chispitas Nutricionales) Para Los Centros De Salud Del Municipio,Cancelado,2020-03-13,2020-03-09,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Cancelacion,FORM 100FORM 100-E,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,,Beni,NB-SABS (D.S.0181)
20-1818-00-1047271-0-E,Gobierno Autonomo Municipal De Baures,Bienes,CD,"Adquisicion De Insumos, Medicamentos Y Reactivos - Emergencia Coronavirus",Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,2020-03-27,Beni,D.S. 4174 (COVID-19)
20-1818-00-1047259-0-E,Gobierno Autonomo Municipal De Baures,Bienes,CD,Adquisicion De Medicamentos Y Reactivos Para Los Centros De Salud De Baures - Correspondiente Al 2do Trimestre,Contratado,,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,2020-05-11,Beni,D.S. 4174 (COVID-19)
20-1818-00-1049597-0-E,Gobierno Autonomo Municipal De Baures,Bienes,CD,Adquisicion De Equipo Medico Y Mobiliario Para El Centro De Salud Hospital Hugo Banzer Suarez,Contratado,,2020-07-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,2020-04-20,Beni,D.S. 4174 (COVID-19)
19-1818-00-1051053-0-E,Gobierno Autonomo Municipal De Baures,Obras,CD,Construccion Tinglado U.E. El Cairo,Contratado,,2020-07-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485), ,,   - , ,2019-09-10,Beni,D.S. 2511 Programa Bolivia Cambia
