cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0386-00-1043294-0-E,Servicio Plurinacional De La Mujer Y De La Despatriarcalizacion Ana Maria Romero,Consultoria,CM,Consultoria Individual De Linea - Tecnico Administrativo,Contratado,,2020-06-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Juan Carlos Criales Castel (Telf: 2154184), ,,   - , ,2020-06-04,La Paz,NB-SABS (D.S.0181)
20-0386-00-1043346-0-E,Servicio Plurinacional De La Mujer Y De La Despatriarcalizacion Ana Maria Romero,Servicios Generales,CM,Servicio De Internet E Instalacion Gestion 2020 Para Sepmud,Contratado,,2020-06-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Juan Carlos Criales Castel (Telf: 2154184), ,,   - , ,2020-02-07,La Paz,NB-SABS (D.S.0181)
20-0386-00-1043384-0-E,Servicio Plurinacional De La Mujer Y De La Despatriarcalizacion Ana Maria Romero,Servicios Generales,CM,Servicios De Pasajes Aereos Para El Sepmud,Contratado,,2020-06-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Juan Carlos Criales Castel (Telf: 2154184), ,,   - , ,2020-02-07,La Paz,NB-SABS (D.S.0181)
20-0386-00-1049347-0-E,Servicio Plurinacional De La Mujer Y De La Despatriarcalizacion Ana Maria Romero,Bienes,CM,Adquisicion De Equipos De Computacion Para El Sepmud,Contratado,,2020-07-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Juan Carlos Criales Castel (Telf: 2154184), ,,   - , ,2020-06-30,La Paz,NB-SABS (D.S.0181)
