cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0078-00-1043398-0-E,Ministerio De Hidrocarburos ,Servicios Generales,CD,Servicio De Telefonia Digital E1 Para El Ministerio De Hidrocarburos Gestion 2020,Contratado,,2020-06-05,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-03-19,La Paz,NB-SABS (D.S.0181)
20-0078-00-1026151-2-1,Ministerio De Hidrocarburos ,Servicios Generales,ANPE,"Servicio De Fotocopias Y Anillados (Ministerio De Hidrocarburos - Gestion 2020)
(Segunda Convocatoria)",Contratado,2020-06-17,2020-06-10,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-06-18,La Paz,NB-SABS (D.S.0181)
20-0078-00-1047852-0-E,Ministerio De Hidrocarburos ,Servicios Generales,CM,Servicio De Courier (Ministerio De Hidrocarburos - Gestion 2020),Contratado,,2020-07-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-06-16,La Paz,NB-SABS (D.S.0181)
20-0078-00-1048627-0-E,Ministerio De Hidrocarburos ,Servicios Generales,CD,Servicio De Provision De Combustible Oficina Tarija (Ministerio De Hidrocarburos - Gestion 2020),Contratado,,2020-07-08,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-06-16,La Paz,NB-SABS (D.S.0181)
20-0078-00-1049277-0-E,Ministerio De Hidrocarburos ,Servicios Generales,CM,Servicio De Internet Oficina Tarija Gestion 2020,Contratado,,2020-07-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-06-23,La Paz,NB-SABS (D.S.0181)
20-0078-00-1051186-0-E,Ministerio De Hidrocarburos ,Servicios Generales,CM,"Elaboracion De Videos Sobre La Agenda De Reactivacion De Hidrocarburos, Como Material Informativo, Para Posicionar La Gestion Del Ministerio De Hidrocarburos",Contratado,,2020-07-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Grover Paredes Loayza (Telf: 2374050), ,,   - , ,2020-07-02,La Paz,NB-SABS (D.S.0181)
