cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1268-00-1030004-2-1,Gobierno Autonomo Municipal De San Buenaventura,Consultoria,ANPE,"Supervision De Los Componentes Equipamiento, Capacitacion, Asistencia Tecnica Al Productor Y Comercializacion De Planta Procesadora De Platano Verde Para Las Comunidades De San Buenaventura Del Departamento De La Paz",No Informado,2020-03-09,2020-03-02,Terminos de ReferenciaConvocatoriaConvocatoriaDocumento Base de Contratacion,FORM 100,Ver Ficha,Rosita Ayala Delgadillo (Telf: 38922437), ,,   - ,04/03/2020 16:00,,La Paz,NB-SABS (D.S.0181)
20-1268-00-1041004-0-E,Gobierno Autonomo Municipal De San Buenaventura,Bienes,EM,Compra De Equipos De Bioseguridad E Insumos Medicos Por Emergencia Sanitaria Nacional Covid-19 Para El Municipio De San Buenaventura,Contratado,,2020-05-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Cesar Nay  Limpias (Telf: 38922437), ,,   - , ,2020-05-11,La Paz,NB-SABS (D.S.0181)
20-1268-00-1041102-0-E,Gobierno Autonomo Municipal De San Buenaventura,Bienes,EM,Compra De Equipos De Bioseguridad E Insumos Medicos Por Emergencia Sanitaria Nacional Covid-19 Para El Municipio De San Buenaventura,Contratado,,2020-05-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Cesar Nay  Limpias (Telf: 38922437), ,,   - , ,2020-05-08,La Paz,NB-SABS (D.S.0181)
