cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1126-00-1035924-1-1,Gobierno Autonomo Municipal De Villa Vaca Guzman,Bienes,ANPP,Adquisición Del Alimento Complementario Nutricional Para La Adulta Y El Adulto Mayor ?Carmelo? Con Quinua,Desierto,2020-03-27,2020-03-16,Documento Base de ContratacionConvocatoriaRes. de Desierta (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Nelson Emilio Salas Palenque (Telf: 046479234), ,,   - ,18/03/2020 17:00,2020-03-31,Chuquisaca,NB-SABS (D.S.0181)
20-1126-00-1035957-1-1,Gobierno Autonomo Municipal De Villa Vaca Guzman,Bienes,ANPE,Adquisición Alimento Complementario Nutribebe,No Informado,2020-03-23,2020-03-16,Documento Base de ContratacionConvocatoria,FORM 100,Ver Ficha,Nelson Emilio Salas Palenque (Telf: 046479234), ,,   - , ,2020-03-26,Chuquisaca,NB-SABS (D.S.0181)
20-1126-00-1035924-2-1,Gobierno Autonomo Municipal De Villa Vaca Guzman,Bienes,ANPP,Adquisición Del Alimento Complementario Nutricional Para La Adulta Y El Adulto Mayor ?Carmelo? Con Quinua,En curso,2020-07-31,2020-07-21,Documento Base de ContratacionConvocatoria,FORM 100,Ver Ficha,Nelson Emilio Salas Palenque (Telf: 046479234), ,,   - ,24/07/2020 13:00,2020-08-04,Chuquisaca,NB-SABS (D.S.0181)
