cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0418-35-1035232-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Consultoria,CM,Consultor En Linea Odontologo Para Uyuni Adm Sub Zonal Potosi,Contratado,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-18,Potosi,NB-SABS (D.S.0181)
20-0418-35-1035221-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Servicios Generales,CM,Servicio Medico Especializado Fisioterapia Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-12,Potosi,NB-SABS (D.S.0181)
20-0418-35-1035199-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Servicios Generales,CM,Servicio Medico Especializado Neumologia Para La Adm Sub Zoanl Cps Potosi,Contratado,,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-12,Potosi,NB-SABS (D.S.0181)
20-0418-35-1035211-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Servicios Generales,CM,Servicio Medico Especializado Urologia Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-18,Potosi,NB-SABS (D.S.0181)
20-0418-35-1036262-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Consultoria,CM,Consultor En Linea Enfermera Para Cps Uyuni Adm Sub Zonal Potosi,Contratado,,2020-03-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-03,Potosi,NB-SABS (D.S.0181)
20-0418-35-1036273-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Servicios Generales,CM,Servicio De Seguridad Privada Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-05,Potosi,NB-SABS (D.S.0181)
20-0418-35-1036940-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Consultoria,CM,Consultor Individual Asesor Legal Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-03-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-01-21,Potosi,NB-SABS (D.S.0181)
20-0418-35-1039866-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Bienes,CM,Adquisicion De Insumos De Laboratorio Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-05-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-02-28,Potosi,NB-SABS (D.S.0181)
20-0418-35-1041507-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Bienes,CM,Adquisicion De Insumos De Odontologis Para La Adm Sub Zonal Cps Potosi,Contratado,,2020-05-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-03-18,Potosi,NB-SABS (D.S.0181)
20-0418-35-1044574-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Bienes,CD,Adquisicion De Insumos Covid Cps Potosi,Contratado,,2020-06-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-04-17,Potosi,NB-SABS (D.S.0181)
20-0418-35-1045026-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Bienes,CD,Adquisicion De Insumos De Farmacia Cps Potosi 2020,Contratado,,2020-06-26,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Felix Pozo Portugal (Telf: 6225218), ,,   - , ,2020-05-15,Potosi,NB-SABS (D.S.0181)
