cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1250-00-1034808-1-1,Gobierno Autonomo Municipal De Pelechuco,Obras,ANPE,Construccion Bloque De Aulas U.E. Puyo Puyo (Fase Ii),Contratado,2020-03-17,2020-03-11,ConvocatoriaPlanosEspecificaciones TecnicasPlanosFormularios de presentacionPlanosPlanosDocumento Base de ContratacionVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,German Quenata Layme (Telf: 71901376), ,,   - , ,2020-03-19,La Paz,NB-SABS (D.S.0181)
20-1250-00-1036714-1-1,Gobierno Autonomo Municipal De Pelechuco,Bienes,ANPP,Desayuno Escolar,Cancelado,2020-03-31,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de CancelacionResolucion/Documento de Cancelacion,FORM 100FORM 100-E,Ver Ficha,German Quenata Layme (Telf: 71901376), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-1250-00-1043973-1-1,Gobierno Autonomo Municipal De Pelechuco,Bienes,ANPE,Proyecto Camelidos Seccional (Adquisiscion De Productos Farmaceuticos Veterinarios),Contratado,2020-06-16,2020-06-09,Documento Base de ContratacionConvocatoriaEspecificaciones TecnicasRes. de Adjudicacion (nota)Res. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,German Quenata Layme (Telf: 71901376), ,,   - , ,2020-06-18,La Paz,NB-SABS (D.S.0181)
