cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1203-00-1044128-1-1,Gobierno Autonomo Municipal De Mecapaca,Obras,ANPE,Const. Tinglado U.E. Llacasa,Contratado,2020-06-17,2020-06-10,Especificaciones TecnicasDocumento Base de ContratacionConvocatoriaPlanosInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Viviana Mayta Aruquipa (Telf: 2-749042), ,,   - , ,2020-06-23,La Paz,NB-SABS (D.S.0181)
20-1203-00-1051588-0-E,Gobierno Autonomo Municipal De Mecapaca,Obras,CD,Const. Viviendas Para Profesores U.E. Cachira,Contratado,,2020-07-27,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Viviana Mayta Aruquipa (Telf: 2-749042), ,,   - , ,2020-06-24,La Paz,NB-SABS (D.S.0181)
