cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0052-04-991724-3-1,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,ANPP,Estudio De Diseno Tecnico De Preinversion Tipo Para Infraestructura Turistica (Restaurante Y Hotel Boutique),Suspendido,2020-06-16,2020-03-23,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Suspension,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0052-04-986491-4-2,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,ANPP,Elaboracion Del Expediente Para La Postulacion Del Salar De Uyuni Y Las Lagunas De Colores Como Patrimonio De La Humanidad Ante La Unesco,Suspendido,2020-06-19,2020-03-23,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Suspension,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0052-04-1037433-1-1,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,ANPE,Especialista En Comunicacion Y Difusion Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores,Suspendido,2020-06-10,2020-03-23,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Suspension,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0052-04-1037424-1-1,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,ANPE,Especialista En Infraestructura Ingeniero Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores,Suspendido,2020-06-10,2020-03-23,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Suspension,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0052-04-1043055-0-E,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,CM,Consultor Individual De Linea Mensajero(A) Del Pdul,Contratado,,2020-06-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,2020-05-25,La Paz,NB-SABS (D.S.0181)
20-0052-04-1043058-0-E,Programa De Dinamizacion Turistica Del Destino Salar De Uyuni Y Lagunas De Colores - Pdul,Consultoria,CM,Consultor Individual De Linea Contador Del Pdul,Contratado,,2020-06-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Teresa Elba Paz Miranda (Telf: 2150498), ,,   - , ,2020-05-25,La Paz,NB-SABS (D.S.0181)
