cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1224-00-1042653-1-1,Gobierno Autonomo Municipal De Achacachi,Consultoria,OF,Auditorias Externas (Auditoria Operacional Recursos I.D.H. Gestion 2019),Adjudicado,2020-06-17,2020-06-01,Documento Base de ContratacionConvocatoriaTerminos de ReferenciaActa de Aclaración de PropuestasRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - ,05/06/2020 10:00,2020-06-23,La Paz,Otra Normativa especifica
20-1224-00-1044358-1-1,Gobierno Autonomo Municipal De Achacachi,Bienes,ANPP,Adquisicion De Alimento Complementario Nutricional Nutribebe Y Carmelo Para Los Centros De Salud De 1mer Nivel De Atencion Del Municipio De Achacachi,Adjudicado,2020-06-24,2020-06-12,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,2020-06-30,La Paz,NB-SABS (D.S.0181)
20-1224-00-1045587-1-1,Gobierno Autonomo Municipal De Achacachi,Bienes,ANPE,Adquisición De Material De Escritorio Y Limpieza Para Las Salas De Aislamiento Para Pacientes Con Covid-19,Desierto,2020-06-26,2020-06-18,ConvocatoriaDocumento Base de ContratacionEspecificaciones TecnicasInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,2020-07-03,La Paz,NB-SABS (D.S.0181)
20-1224-00-1045580-1-1,Gobierno Autonomo Municipal De Achacachi,Bienes,ANPE,Adquisición De Material De Limpieza Para Las Salas De Aislamiento Para Pacientes Con Covid-19,Desierto,2020-06-26,2020-06-18,Especificaciones TecnicasDocumento Base de ContratacionConvocatoriaEnmiendasEnmiendasInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,2020-07-03,La Paz,NB-SABS (D.S.0181)
20-1224-00-1047806-1-1,Gobierno Autonomo Municipal De Achacachi,Obras,ANPP,Construccion De Sistema De Riego Comunidad Patanivi  Municipio De Achacachi,Anulado desde la convocatoria,2020-07-15,2020-07-03,ConvocatoriaPlanosPlanosPlanosDocumento Base de ContratacionResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - ,08/07/2020 10:00,,La Paz,NB-SABS (D.S.0181)
20-1224-00-1047822-1-1,Gobierno Autonomo Municipal De Achacachi,Obras,ANPP,Construccion De Sistema De Riego Comunidad De Irama Belen Municipio De Achacachi,Anulado desde la convocatoria,2020-07-15,2020-07-03,Documento Base de ContratacionPlanosConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - ,08/07/2020 14:00,,La Paz,NB-SABS (D.S.0181)
20-1224-00-1047837-1-1,Gobierno Autonomo Municipal De Achacachi,Obras,ANPE,Construccion De Sistema De Riego Comunidad De Barco Belen Municipio De Achacachi,Anulado desde la convocatoria,2020-07-09,2020-07-03,PlanosDocumento Base de ContratacionConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-1224-00-1047841-1-1,Gobierno Autonomo Municipal De Achacachi,Obras,ANPE,Construccion De Sistema De Riego Comunidad De Suntia Grande Municipio De Achacachi,Anulado desde la convocatoria,2020-07-09,2020-07-03,Documento Base de ContratacionConvocatoriaPlanosPlanosPlanosResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-1224-00-1049305-1-1,Gobierno Autonomo Municipal De Achacachi,Consultoria,ANPE,Delimitacion Y Homologacion Del Area Urbana De La Ciudad De Achacachi (D.S.2960),Adjudicado,2020-07-20,2020-07-13,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - , ,2020-07-22,La Paz,NB-SABS (D.S.0181)
20-1224-00-1047822-1-2,Gobierno Autonomo Municipal De Achacachi,Obras,ANPP,Construccion De Sistema De Riego Comunidad De Irama Belen Municipio De Achacachi,Adjudicado,2020-07-24,2020-07-13,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 170,Ver Ficha,Lourdes Monica Mamani Mamani (Telf: 2136503), ,,   - ,20/07/2020 12:00,2020-07-28,La Paz,NB-SABS (D.S.0181)
