cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1231-00-1032138-1-1,Gobierno Autonomo Municipal De Combaya,Servicios Generales,ANPE,Alimentacion Complementaria Desayuno Escolar,No Informado,2020-03-06,2020-03-02,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Wilmer Verastegui Macias (Telf: 77215127), ,,   - , ,2020-03-09,La Paz,NB-SABS (D.S.0181)
20-1231-00-1046871-1-1,Gobierno Autonomo Municipal De Combaya,Bienes,ANPP,Adquisicion De Vehiculo Para P.S. Huaycho  (Vagoneta Con Equipamiento De Ambulancia),Contratado,2020-07-10,2020-06-29,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Wilmer Verastegui Macias (Telf: 77215127), ,,   - , ,2020-07-14,La Paz,NB-SABS (D.S.0181)
20-1231-00-1049124-1-1,Gobierno Autonomo Municipal De Combaya,Bienes,ANPP,Construccion Sistema De Riego Tecnificado Sorejaya - Combaya,Adjudicado,2020-07-24,2020-07-13,Documento Base de ContratacionEspecificaciones TecnicasConvocatoriaEnmiendasEspecificaciones TecnicasEnmiendasRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Wilmer Verastegui Macias (Telf: 77215127), ,,   - , ,2020-07-27,La Paz,NB-SABS (D.S.0181)
