cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0433-00-1037787-1-1,Seguro Social Universitario - Potosi,Bienes,ANPP,Compra De Medicamentos,No Informado,2020-04-20,2020-04-03,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)EnmiendasEnmiendas,FORM 100,Ver Ficha,Jose Luis Soto Soto (Telf: 6223227), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
20-0433-00-1050266-0-E,Seguro Social Universitario - Potosi,Bienes,CM,Compra De Barbijo De Bioseguridad Descartable,Contratado,,2020-07-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Luis Soto Soto (Telf: 6223227), ,,   - , ,2020-06-03,Potosi,NB-SABS (D.S.0181)
20-0433-00-1050273-0-E,Seguro Social Universitario - Potosi,Bienes,CM,Compra De Mascarilla Kn95 Sin Valvula,Contratado,,2020-07-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Luis Soto Soto (Telf: 6223227), ,,   - , ,2020-06-05,Potosi,NB-SABS (D.S.0181)
