cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1202-00-1031701-1-1,Gobierno Autonomo Municipal De Palca,Bienes,ANPE,Equipamiento De Unidades Educativas (Mobiliario),En curso,2020-03-06,2020-03-02,Documento Base de ContratacionEspecificaciones TecnicasConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de Reanudacion,FORM 100FORM 100-EFORM RPS,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-1202-00-1023309-2-2,Gobierno Autonomo Municipal De Palca,Obras,LP,Construccion Centro De Salud Integral Ovejuyo - Conclusion,Desierto,2020-07-31,2020-03-05,ConvocatoriaPlanosEspecificaciones TecnicasDocumento Base de ContratacionResolucion de aprobacion del DBCResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de SuspensionVer mas...,FORM 100FORM 120FORM 100-EFORM RPSFORM 100-EFORM RPSFORM 170,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - ,16/03/2020 10:00,2020-08-10,La Paz,NB-SABS (D.S.0181)
20-1202-00-1036184-1-1,Gobierno Autonomo Municipal De Palca,Bienes,ANPE,Adquisición De Complemento Nutricional Carmelo Para Centros De Salud De Municipio Palca S.U.S. Gestión 2020,Adjudicado,2020-07-24,2020-03-18,Especificaciones TecnicasDocumento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 100-EFORM RPSFORM 170,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2020-07-27,La Paz,NB-SABS (D.S.0181)
20-1202-00-1038734-0-E,Gobierno Autonomo Municipal De Palca,Bienes,EM,Subsidio Municipal De Alimentacion Solidaria(Mi Palca),Contratado,,2020-05-18,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)InformeActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2020-04-17,La Paz,NB-SABS (D.S.0181)
20-1202-00-1044983-0-E,Gobierno Autonomo Municipal De Palca,Bienes,CD,Adquisicion De Equipamiento Medico Y Hospitalario Para Are De Triaje Y Sala De Aislamiento P.C.S.: Lote Ii: Equipo Medico,Contratado,,2020-06-18,InformeContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2020-05-08,La Paz,NB-SABS (D.S.0181)
20-1202-00-1044736-0-E,Gobierno Autonomo Municipal De Palca,Bienes,CD,Adquisicion De Equipamiento Medico Y Hospitalario Para Area De Triaje Y Sala De Aislamiento P.C.S. Lote I: Mobiliario Medico Y Hospitalario Metalico,Contratado,,2020-06-18,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2020-05-08,La Paz,NB-SABS (D.S.0181)
20-1202-00-1045867-0-E,Gobierno Autonomo Municipal De Palca,Bienes,EM,"Subsidio Municipal De Alimentación Solidaria ""Mi Palca"" 2da Fase",Contratado,,2020-06-19,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)InformeActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2020-05-26,La Paz,NB-SABS (D.S.0181)
19-1202-00-1052063-0-E,Gobierno Autonomo Municipal De Palca,Obras,EX,Construccion Tinglado Com. Huarimutuhuaya,Contratado,,2020-07-29,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Roger Aruquipa Bautista (Telf: 67004303-68222057), ,,   - , ,2019-10-24,La Paz,NB-SABS (D.S.0181)
