cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1115-00-1039374-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Mantenimiento Muro Perimetral Para La Unidad De Viales Y Maestranza De Gamm,Contratado,,2020-05-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-03-04,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1043240-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Readecuacion Pabellon 3 Mercado Gremialista Para Traslado De Farmacia Municipal Por Covid-19,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-03,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1043260-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Readecuacion Sala De Farmacia Municipal Para Area Covid-19 (Internacion) H.S.A.S Monteagudo,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-03,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1043258-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Readecuacion De Salas De Pai Para Area Covid-19 (Cuidados Intensivos) H.S.A.S Monteagudo,Contratado,,2020-06-04,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-03,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1044230-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Readecuacion De Consultorio Movil Para Atencion De Covid-19 H.S.A.S. Monteagudo,Contratado,,2020-06-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-10,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1044235-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Readecuacion Sala De Lavanderia Para Area Covid-19 H.S.A.S Monteagudo,Contratado,,2020-06-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-10,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1044246-0-E,Gobierno Autonomo Municipal De Monteagudo,Obras,CM,Cerramiento Perimetral E Instalacion Electrica Para Area Covid-19 H.S.A.S Monteagudo,Contratado,,2020-06-11,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-10,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1045057-1-1,Gobierno Autonomo Municipal De Monteagudo,Bienes,ANPE,Adquisicion De Semillas De Hortlizas,Cancelado,2020-06-23,2020-06-17,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Cancelacion,FORM 100FORM 100-E,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1045156-0-E,Gobierno Autonomo Municipal De Monteagudo,Bienes,CD,Adquisicion De Barbijos Descartables Para El Hospital Sas Y Puestos De Control Del Municipio De Monteagudo,Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-19,Chuquisaca,NB-SABS (D.S.0181)
20-1115-00-1046941-0-E,Gobierno Autonomo Municipal De Monteagudo,Bienes,CD,Adquisicion De Barbijos Kn95 Para El Hospital S.A.S Y Puestos De Salud Municipal De Monteagudo,Contratado,,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Mayan Alba (Telf: 6472224), ,,   - , ,2020-06-23,Chuquisaca,NB-SABS (D.S.0181)
