cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0287-00-1033677-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto Supervisor Residente En Obra Construccion Unidad Educativa Cristal A Y B - Distrito 8 El Alto,Contratado,,2020-03-06,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-04,La Paz,D.S. 2439 FPS
20-0287-00-1034704-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Supervisor Residente De Obra Para La Supervision Construccion De Sede Social De La Federacion Departamental De Maestros Rurales De Santa Cruz,Contratado,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-01-10,La Paz,D.S. 2439 FPS
20-0287-00-1034888-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Supervisor Residente De Obra Construccion De La Sede Social De La Federacion Departamental De Trabajadores De Educacion Urbana De Santa Cruz,Contratado,,2020-03-11,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-01-10,La Paz,D.S. 2439 FPS
20-0287-00-1031944-1-1,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,LP,Auditoria De Los Recursos Administrados Por El Fps Durante El Ejercicio Terminado Al 31 De Diciembre De 2019 Y De Los Convenios De Financiamiento,En curso,2020-08-13,2020-03-13,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion de aprobacion del DBC,FORM 100FORM 100-EFORM RPSFORM 120,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - ,19/03/2020 16:30,,La Paz,Otra Normativa especifica
20-0287-00-1037371-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea Profesional Tecnico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La P",Contratado,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-26,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037370-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,Consultor Individual De Linea Tecnico Operativo - Supervision Fondo Indigena - Gerencia Departamental La Paz,Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037365-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea Tecnico Operativo - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La Paz",Contratado,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037361-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea Profesional Tecnico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La P",Contratado,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037358-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea Profesional Tecnico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La Paz",Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037341-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea: Profesional Electrico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La Paz",Contratado,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-20,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037344-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea: Profesional Tecnico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La Paz",Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037342-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,Consultor Individual Del Linea: Profesional Tecnico - Supervision Fondo Indigena - Gerencia Departamental La Paz,Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1037356-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CM,"Consultor Individual De Linea Profesional Tecnico - Programa De Infraestructura Urbana Para La Generacion De Empleo Ii, Bol-32/2018 - Gerencia Departamental La Paz",Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-02-14,La Paz,NB-SABS (D.S.0181)
20-0287-00-1041526-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultoria Por Producto Servicio De Supervision En Salud Publica Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-05-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-02,La Paz,D.S. 2439 FPS
20-0287-00-1041562-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto Supervision En Ingenieria Electrica Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-05-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1044869-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision En Arquitectura Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-16,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1044883-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision En Estructuras Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-16,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1044888-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto:  Supervision En Ingenieria Ambiental Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-16,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1044757-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Bienes,CD,Provision De Combustible Para El Fps Oficina Central - Gestion 2020,Contratado,,2020-06-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-19,La Paz,NB-SABS (D.S.0181)
20-0287-00-1045460-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultoria Por Producto Servicio De Supervision En Equipamiento Medico Para El Proyecto Hospital De Tercer Nivel Montero,Contratado,,2020-06-18,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-05,La Paz,D.S. 2439 FPS
20-0287-00-1046321-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision En Ingeniera Hidrosanitaria Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1046329-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision En Sistemas De Gases Medicinales Y Climatizacion Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-20,La Paz,D.S. 2439 FPS
20-0287-00-1046309-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Gerente De Supervision Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-24,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-19,La Paz,D.S. 2439 FPS
20-0287-00-1046550-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision En Telecomunicaciones Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1046558-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Supervision Residente En Telecomunicaciones Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-05-06,La Paz,D.S. 2439 FPS
20-0287-00-1046563-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultor Por Producto: Apoyo Tecnico De Supervision Para El Proyecto Del Hospital De Tercer Nivel Montero,Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-04,La Paz,D.S. 2439 FPS
20-0287-00-1047213-0-E,Fondo Nacional De Inversion Productiva Y Social  -  Fps,Consultoria,CD,Consultoria Por Producto Servicio De Supervision En Ingenieria Ambiental De La Obra Hospital De Segundo Nivel Challapata,Contratado,,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jacqueline Edith Medina Jimenez (Telf: 2412474), ,,   - , ,2020-03-02,La Paz,D.S. 2439 FPS
