cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0015-08-1032191-1-1,Viceministerio De Defensa Social Y Sustancias Controladas,Bienes,ANPE,Adquisicion De Seis (6) Equipos De Computacion Para Las Diferentes Unidades Del Viceministerio De Defensa Social Y Sustancias Controladas,Contratado,2020-03-06,2020-03-02,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-03-12,La Paz,NB-SABS (D.S.0181)
20-0015-08-1035118-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Bienes,CM,Adqusicion De Radios De Comunicacion (Handy) Para El Personal Policial De Seguridad Del Viceminsiterio De Defensa Social Y Sustancias Controladas,Contratado,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-02-19,La Paz,NB-SABS (D.S.0181)
20-0015-08-1037244-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Servicios Generales,CM,Servicio De Alimentacion Para El Personal De Seguridad Por 2 (Dos) Meses Y 13 (Trece) Dias Del Viceminsiterio De Defensa Social Y Sustancias Controladas,Contratado,,2020-03-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato Modificatorio/Orden de CambioActa o informe de recepcion definitiva,FORM 400FORM 250FORM 500,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-02-27,La Paz,NB-SABS (D.S.0181)
20-0015-08-1037262-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Servicios Generales,CD,Servicio De Suscripcion Periodicos Gestion 2020 Para El Viceministerio De Defensa Social Y Sustancias Controladas,Contratado,,2020-03-21,Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Res. de Adjudicacion (nota),FORM 400,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-02-03,La Paz,NB-SABS (D.S.0181)
20-0015-08-1049727-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Servicios Generales,CM,"Servicio De Mantenimiento Y Proteccion De Arco De Seguridad Del Viceministerio De Defensa Social Y Sustancias Controladas,",Contratado,,2020-07-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-06-25,La Paz,NB-SABS (D.S.0181)
20-0015-08-1049740-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Bienes,CM,Adquisicion De Radio Base Y Radio Repetidora Para Uso Exclusivo Del Personal De Seguridad Del Vds Ysc,Contratado,,2020-07-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-06-22,La Paz,NB-SABS (D.S.0181)
20-0015-08-1050833-0-E,Viceministerio De Defensa Social Y Sustancias Controladas,Servicios Generales,CM,Servicio De Alimentacion Para El Personal De Seguridad Desde Julio Hasta Octubre/2020,Contratado,,2020-07-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Lucia Elizabeth Quisbert Soliz (Telf: 2415506 -12), ,,   - , ,2020-06-24,La Paz,NB-SABS (D.S.0181)
