cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
19-0046-37-1032169-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Servicios Generales,CM,Servicio De Limpieza Para El Laboratorio De Concamyt Gestion 2020,Contratado,,2020-03-02,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2019-12-09,La Paz,NB-SABS (D.S.0181)
20-0046-37-1035949-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Material De Laboratorio,Contratado,,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-02-28,La Paz,NB-SABS (D.S.0181)
20-0046-37-1038552-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Servicios Generales,CM,Servicio De Calibracion De Equipos E Instrumentos,Contratado,,2020-04-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-03-13,La Paz,NB-SABS (D.S.0181)
20-0046-37-1042800-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Accesorios Para Purificadores De Agua,Contratado,,2020-06-02,InformeContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-05-25,La Paz,NB-SABS (D.S.0181)
20-0046-37-1043094-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Accesorios Para Equipos De Disolucion,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInformeActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-05-25,La Paz,NB-SABS (D.S.0181)
20-0046-37-1043451-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Filtros De Jeringa Y Filtros De Membrana,Contratado,,2020-06-05,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-05-25,La Paz,NB-SABS (D.S.0181)
20-0046-37-1043818-1-1,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,ANPP,"Adquisicion De Equipamiento Tecnologico Para La Implementacion Del Proyecto Del Modulo De Control, Fiscalizacion Y Vigilancia De Sustancias Controladas Para Agemed",Contratado,2020-06-23,2020-06-10,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-06-29,La Paz,NB-SABS (D.S.0181)
20-0046-37-1047325-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Reactivos Para Control Fisico Quimico,Contratado,,2020-07-01,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-06-16,La Paz,NB-SABS (D.S.0181)
20-0046-37-1047683-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Material De Escritorio Primera Compra,Contratado,,2020-07-02,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-06-25,La Paz,NB-SABS (D.S.0181)
20-0046-37-1047811-0-E,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Adquisicion De Barbijos Desechables Quirurgicos - Agemed 2020,Contratado,,2020-07-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Marca Lopez (Telf: 2444432), ,,   - , ,2020-06-04,La Paz,NB-SABS (D.S.0181)
